From/TO,Car or Jeep Or Van
Raviryal/Bongulur,10
Tukkuguda/Pedda Golconda,10
Tukkuguda/Shamshabad,20
Tukkuguda/Rajendra Nagar,20
Tukkuguda/Appa,30
Tukkuguda/Nanakramguda,40
Tukkuguda/Kokapet,40
Tukkuguda/Edulanagulapally,50
Tukkuguda/Patancheru,60
Tukkuguda/Sultanpur,70
Tukkuguda/Dundigal,80
Tukkuguda/Medchal,90
Tukkuguda/Kandlakoya,0
Tukkuguda/Shamirpet,0
Tukkuguda/Gatkesar,40
Tukkuguda/Taramatipet,30
Tukkuguda/Pedda Amberpet,30
Tukkuguda/Bongulur,10
Tukkuguda/Raviryal,10
Pedda Golconda/Shamshabad,10
Pedda Golconda/Rajendra Nagar,20
Pedda Golconda/Appa,20
Pedda Golconda/Nanakramguda,30
Pedda Golconda/Kokapet,30
Pedda Golconda/Edulanagulapally,40
Pedda Golconda/Patancheru,50
Pedda Golconda/Sultanpur,60
Pedda Golconda/Dundigal,70
Pedda Golconda/Medchal,80
Pedda Golconda/Kandlakoya,0
Pedda Golconda/Shamirpet,0
Pedda Golconda/Ghatkesar,50
Pedda Golconda/Taramatipet,40
Pedda Golconda/Pedda Amberpet,30
Pedda Golconda/Bongulur,20
Pedda Golconda/Raviryal,10
Pedda Golconda/Tukkuguda,10
Shamshabad/Rajendra Nagar,10
Shamshabad/Appa,10
Shamshabad/Nanakramguda,20
Shamshabad/Kokapet,20
Shamshabad/Edulanagulapally,30
Shamshabad/Patancheru,40
Shamshabad/Sultanpur,50
Shamshabad/Dundigal,60
Shamshabad/Medchal,70
Shamshabad/Kandlakoya,0
Shamshabad/Shamirpet,0
Shamshabad/Ghatkesar,60
Shamshabad/Taramatipet,50
Shamshabad/Pedda Amberpet,40
Shamshabad/Bongulur,30
Shamshabad/Raviryal,20
Shamshabad/Tukkuguda,20
Shamshabad/Pedda Golconda,10
Rajendra Nagar/Appa,10
Rajendra Nagar/Nanakramguda,10
Rajendra Nagar/Kokapet,10
Rajendra Nagar/Edulanagulapally,20
Rajendra Nagar/Patancheru,30
Rajendra Nagar/Sultanpur,40
Rajendra Nagar/Dundigal,50
Rajendra Nagar/Medchal,70
Rajendra Nagar/Kandlakoya,0
Rajendra Nagar/Shamirpet,0
Rajendra Nagar/Ghatkesar,70
Rajendra Nagar/Taramatipet,60
Rajendra Nagar/Pedda Amberpet,50
Rajendra Nagar/Bongulur,40
Rajendra Nagar/Raviryal,30
Rajendra Nagar/Tukkuguda,20
Rajendra Nagar/Pedda Golconda,20
Rajendra Nagar/Shamshabad,10
Appa /Nanakramguda,10
Appa /Kokapet,10
Appa /Edulanagulapally,20
Appa /Patancheru,30
Appa /Sultanpur,40
Appa /Dundigal,50
Appa /Medchal,60
Appa /Kandlakoya,0
Appa /Shamirpet,0
Appa /Ghatkesar,70
Appa /Taramatipet,60
Appa /Pedda Amberpet,50
Appa /Bongulur,40
Appa /Raviryal,30
Appa /Tukkuguda,30
Appa /Pedda Golconda,20
Appa /Shamshabad,10
Appa /Rajendra Nagar,0
Nanakramguda/Kokapet,10
Nanakramguda/Edulanagulapally,20
Nanakramguda/Patancheru,30
Nanakramguda/Sultanpur,40
Nanakramguda/Dundigal,50
Nanakramguda/Medchal,60
Nanakramguda/Kandlakoya,0
Nanakramguda/Shamirpet,0
Nanakramguda/Ghatkesar,80
Nanakramguda/Taramatipet,70
Nanakramguda/Pedda Amberpet,60
Nanakramguda/Bongulur,50
Nanakramguda/Raviryal,40
Nanakramguda/Tukkuguda,40
Nanakramguda/Pedda Golconda,30
Nanakramguda/Shamshabad,20
Nanakramguda/Rajendra Nagar,10
Nanakramguda/Appa,10
Ghatkesar/Taramatipet,10
Ghatkesar/Pedda Amberpet,20
Ghatkesar/Bongulur,30
Ghatkesar/Raviryal,40
Ghatkesar/Tukkuguda,40
Ghatkesar/Pedda Golconda,50
Ghatkesar/Shamshabad,60
Ghatkesar/Rajendra Nagar,70
Ghatkesar/Appa,70
Ghatkesar/Nanakramguda,80
Ghatkesar/Kokapet,80
Ghatkesar/Edulanagulapally,90
Ghatkesar/Patancheru,100
Ghatkesar/Sultanpur,110
Ghatkesar/Dundigal,120
Ghatkesar/Medchal,130
Ghatkesar/Kandlakoya,0
Ghatkesar/Shamirpet,0
Taramatipet/Ghatkesar,10
Taramatipet/Pedda Amberpet,10
Taramatipet/Bongulur,20
Taramatipet/Raviryal,30
Taramatipet/Tukkuguda,30
Taramatipet/Pedda Golconda,40
Taramatipet/Shamshabad,50
Taramatipet/Rajendra Nagar,60
Taramatipet/Appa,60
Taramatipet/Nanakramguda,70
Taramatipet/Kokapet,70
Taramatipet/Edulanagulapally,80
Taramatipet/Patancheru,90
Taramatipet/Sultanpur,100
Taramatipet/Dundigal,110
Taramatipet/Medchal,120
Taramatipet/Kandlakoya,0
Taramatipet/Shamirpet,0
